paraphrase,template_id,prop,possible_answers,id
What is George Rankin's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4222362
What is the occupation of George Rankin?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4222362
What kind of work does George Rankin do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4222362
What does George Rankin earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4222362
What job does George Rankin do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4222362
What is George Rankin's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4222362
What is John Mayne's occupation?,0,occupation,"[""journalist"", ""journo"", ""journalists""]",4725190
What is the occupation of John Mayne?,1,occupation,"[""journalist"", ""journo"", ""journalists""]",4725190
What kind of work does John Mayne do?,2,occupation,"[""journalist"", ""journo"", ""journalists""]",4725190
What does John Mayne earn a living as?,3,occupation,"[""journalist"", ""journo"", ""journalists""]",4725190
What job does John Mayne do?,4,occupation,"[""journalist"", ""journo"", ""journalists""]",4725190
What is John Mayne's job?,5,occupation,"[""journalist"", ""journo"", ""journalists""]",4725190
What is Henry Feilden's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4382392
What is the occupation of Henry Feilden?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4382392
What kind of work does Henry Feilden do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4382392
What does Henry Feilden earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4382392
What job does Henry Feilden do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4382392
What is Henry Feilden's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4382392
What is Kathy Saltzman's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4822110
What is the occupation of Kathy Saltzman?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4822110
What kind of work does Kathy Saltzman do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4822110
What does Kathy Saltzman earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4822110
